,F,N,Plate-IFU,g,i,r,u,z
429,0.0,0.0,b'10511-12705',1700.62,3786.59,2634.56,799.049,4755.43
430,0.0,0.0,b'10511-1901',611.882,966.439,836.059,310.001,1014.85
431,0.0,0.0,b'10511-1902',254.955,734.991,518.495,70.0446,962.766
432,0.0,0.0,b'10511-3701',522.509,1151.37,849.472,150.042,1197.56
433,0.0,0.0,b'10511-3702',71.9051,208.585,145.221,20.2977,265.67
434,24.2044,35.2673,b'10511-3703',348.593,866.906,608.69,105.771,1175.99
435,0.0,0.0,b'10511-3704',1056.08,2852.01,2031.64,290.56,3343.74
436,0.0,0.0,b'10511-6101',321.88,738.813,545.597,122.101,906.274
437,1.17399,3.11179,b'10511-6102',232.842,802.371,533.439,53.3117,1048.93
438,0.451869,0.614693,b'10511-6103',232.349,835.463,551.599,67.18,1062.7
439,0.0,0.0,b'10511-6104',173.204,686.026,447.106,39.1399,933.796
440,0.0,0.0,b'10511-9101',265.295,878.412,554.553,60.9354,1127.74
441,3.02216,6.76949,b'10511-9102',955.821,3211.01,2130.0,183.597,4193.22
442,20.8367,34.1566,b'10512-12701',752.557,2274.97,1528.41,280.058,2990.98
443,37.0047,64.2641,b'10512-12702',1148.26,3341.12,2305.2,320.076,3956.87
444,0.98844,5.53776,b'10512-12703',248.519,875.677,563.905,69.1048,1420.78
445,12.4442,19.765,b'10512-12704',320.781,975.032,653.355,91.7938,1196.16
446,94.3519,143.505,b'10512-12705',1028.43,2110.77,1587.9,402.522,2338.43
447,0.0,0.0,b'10512-1901',330.294,990.189,682.013,88.1701,1306.26
448,0.834191,3.85342,b'10512-1902',327.607,932.016,652.529,79.3459,1196.21
449,1.0356,1.84951,b'10512-3701',140.128,552.856,357.702,29.7076,802.323
450,10.3296,16.2005,b'10512-3702',219.506,494.745,365.649,92.4656,752.162
451,14.6971,23.5098,b'10512-3703',309.018,748.587,555.94,102.586,969.856
452,7.41884e-05,1.83216,b'10512-3704',442.627,1608.51,1052.68,79.2998,2169.07
453,3.17429,7.86998,b'10512-6101',964.3,3178.51,2149.17,171.584,4379.99
454,2.14189,4.34092,b'10512-6102',309.216,1040.43,689.879,86.9554,1490.93
455,24.8056,38.5863,b'10512-6103',926.669,2628.6,1813.08,227.551,3348.95
456,28.2579,41.711,b'10512-6104',374.196,835.852,578.343,121.164,887.798
457,6.05483,12.8569,b'10512-9101',259.672,706.576,482.785,74.9128,930.771
458,8.10753,13.6075,b'10512-9102',373.194,1042.57,699.697,125.635,1185.45
459,2.67036,7.11701,b'10513-12701',913.787,2872.67,1901.21,174.901,3689.56
460,87.4013,132.089,b'10513-12702',882.811,1728.05,1314.35,350.933,1751.4
461,1.52335,3.28211,b'10513-12703',168.164,667.292,381.748,42.4686,970.975
462,1.90124,8.38517,b'10513-12704',1417.66,4985.78,3229.11,270.418,6565.92
463,19.4407,33.1067,b'10513-12705',321.951,861.675,506.487,127.46,759.634
464,0.817862,4.90218,b'10513-1901',513.853,1529.78,1021.58,129.079,1868.39
465,0.0454204,1.91527,b'10513-1902',409.038,1294.45,880.561,81.3386,1702.48
466,18.1543,26.933,b'10513-3701',664.218,1803.95,1297.48,172.555,2339.75
467,3.10958,5.57389,b'10513-3702',160.21,445.984,299.902,67.5757,460.327
468,6.99541,12.0971,b'10513-3703',154.534,360.553,273.524,51.168,483.299
