Plate-IFU,extinction
10513-6101,-0.5481958297517342
10513-6102,-0.4740309024780608
10513-6103,0.12118389637043774
10513-6104,0.3895114171610932
10513-9101,0.15350066359374623
10514-12701,0.0627787214490885
10514-12702,0.09625031119917678
10514-12703,0.13900837040093886
10514-12704,0.0964605596242764
10514-12705,0.2410429258218221
10514-1901,-0.47524281284471603
10514-1902,-1.1886207643757691
10514-3701,0.31191807016312967
10514-3702,-0.7990654672410741
10514-3703,0.18639795869831238
10514-3704,-1.6069261217682351
10514-6101,0.11443219337309254
10514-6102,-1.2529898260806942
10514-6103,0.3019596476569923
10514-6104,0.07317207990794464
10514-9101,0.2322911667297105
10516-12702,-0.0010055078668015124
10516-12703,0.10643716273521546
10516-12704,0.3189204844099227
10516-12705,-0.05190777180443642
10516-1901,0.21790175949276602
10516-1902,0.2144010025820169
10516-3701,0.0691887578515669
10516-3702,0.4044006826328366
10516-3703,-0.6830049263622234
10516-3704,0.17969961578479077
10516-6101,-0.7762166437242233
10516-6102,0.07611433815973394
10516-6103,-0.10288640353433778
10516-6104,0.39515559410785145
10516-9101,0.24150752890315338
10516-9102,0.0946404797806768
10517-12701,0.05572590290491866
10517-12703,0.2773047851597336
10517-12704,-0.044147280170640416
10517-12705,-2.2729235570584048
10517-1901,0.2847624452158897
10517-1902,0.22631021696895068
10517-3701,0.3649751766509693
10517-3702,0.1231745617866884
10517-3703,-0.49430313775115087
10517-3704,0.40100475070747615
10517-6101,0.07831414003781445
10517-6102,0.26783786888874395
10517-6103,-0.5445167329166672
10517-6104,0.056556321059494596
10517-9101,0.09505459043816955
10517-9102,0.322581519288358
10518-12701,-0.8349482445699274
10518-12702,0.07563329639718372
10518-12703,0.2069282398817013
10518-12704,0.3908192529115515
10518-12705,0.4152794514079168
10518-1901,-0.5896676409318569
10518-1902,0.3567718986059728
10518-3702,0.32558852434696306
10518-3704,0.4515708705031566
10518-6101,-0.9421354831733415
10518-6102,0.39654054169042235
10518-6103,0.42294540123285534
10518-6104,0.5473034308664931
10518-9101,0.45376454025390167
10518-9102,0.19841004306143417
10519-12701,0.1883368306217826
10519-12702,0.20876714031777013
10519-12703,-0.9189346493236615
10519-12704,0.29512097079797367
10519-12705,0.38334634225218717
10519-1901,0.06875812141739812
10519-1902,0.34459364691096783
10519-3701,-1.8106762015302234
10519-3702,-0.2885459112918179
10519-3703,-0.09159636019498119
10519-3704,-0.4881269917995078
10519-6103,-0.5688332085255483
10519-6104,0.08451947555517199
10519-9101,-0.05409335313529133
10519-9102,0.36244526671577026
10520-12701,0.298305662088186
10520-12702,-1.368707421134026
10520-12703,0.10325285160535878
10520-12704,0.2229233993832497
10520-12705,0.08684074040500038
10520-1901,-0.3751934554902602
10520-1902,0.04828922709813136
10520-3701,0.38594885849687616
10520-3702,0.6786960558211912
10520-3703,0.17048487122745168
10520-3704,-0.4608390124524864
10520-6101,0.2738323950511608
10520-6102,0.19726837590430643
10520-6103,0.30866324822541075
10520-6104,0.31428198960777654
10520-9101,0.15367364739318404
10520-9102,0.3282697774536476
10837-12701,0.05518783620732111
10837-12702,-0.9893907354737125
10837-12703,0.3160176514967637
10837-12704,0.049207317910117995
10837-12705,-0.48505131544150826
10837-1901,-0.17291892834017966
10837-1902,0.4490982692780978
10837-3701,0.4950693689140754
10837-3702,0.3099759009623057
10837-3703,-0.46387445569937863
10837-3704,-0.8066894431010343
10837-6101,0.3028587350754814
10837-6102,-0.44703526792892406
10837-6103,-0.10580298658838373
