Plate-IFU,extinction,ha_6564,ha_6564c,l_ha,l_hac
9184-12703,0.17000001171338994,2.3653662109375002e-14,3.4811472997587536e-14,1.823742781871405e+40,2.6840314329381917e+40
9184-12704,0.2771054425443425,3.213360786437988e-17,6.032786868272149e-17,6.026241408859586e+37,1.1313709369281727e+38
9184-12705,0.4985386764097499,1.343428421020508e-16,4.1722652735094805e-16,1.9772407552722176e+39,6.140686627965866e+39
9184-1901,0.35989707499912993,4.5398840332031255e-15,1.0288099405181465e-14,3.283908423395626e+39,7.441858877961192e+39
9184-1902,999.0,0.0,999.0,999.0,999.0
9184-3701,999.0,0.0,999.0,999.0,999.0
9184-3702,999.0,0.0,999.0,999.0,999.0
9184-3703,0.21845772260566712,9.742672729492189e-16,1.6008092236026349e-15,7.264598167922612e+38,1.1936391661575872e+39
9184-3704,0.3931413512518694,2.3667373046875003e-14,5.78441173047744e-14,1.1293815411483658e+41,2.7602589530593792e+41
9184-6101,0.35524494953379354,3.142915954589844e-15,7.047426932052027e-15,3.966466632094681e+40,8.894092038091967e+40
9184-6102,0.5697196876840783,1.8132424926757813e-15,6.620383745532968e-15,2.450965538891459e+40,8.948793379860325e+40
9184-6103,999.0,0.0,999.0,999.0,999.0
9184-6104,0.3708081250923819,4.6144714355468754e-15,1.0719727438522824e-14,2.361349469727635e+40,5.485573603855395e+40
9184-9101,999.0,0.0,999.0,999.0,999.0
9184-9102,0.2078236052353249,3.320684326171875e-14,5.325876056748662e-14,2.617809607655978e+40,4.1985711802405e+40
9185-12701,0.2267742923107802,8.905576171875e-15,1.4911921336044495e-14,2.3289219955928156e+40,3.8996580261411615e+40
9185-12702,999.0,0.0,999.0,999.0,999.0
9185-12703,999.0,0.0,999.0,999.0,999.0
9185-12704,999.0,0.0,999.0,999.0,999.0
9185-12705,0.13196243838193253,3.410265808105469e-15,4.603218075745888e-15,1.1965065316251798e+40,1.6150590024490867e+40
9185-1901,999.0,0.0,999.0,999.0,999.0
9185-1902,0.46109477302881446,2.0948613281250003e-14,5.975139368517865e-14,1.589081548712763e+41,4.532511815470587e+41
9185-3701,999.0,0.0,999.0,999.0,999.0
9185-3702,999.0,0.0,999.0,999.0,999.0
9185-3703,999.0,0.0,999.0,999.0,999.0
9185-3704,0.6345860479374366,1.9185752868652346e-15,8.117871875415722e-15,4.079636153215415e+39,1.7261748244567526e+40
9185-6101,999.0,0.0,999.0,999.0,999.0
9185-6102,0.14135047452097546,1.948206298828125e-14,2.686433729409167e-14,6.866598185751275e+40,9.468535741619334e+40
9185-6103,999.0,0.0,999.0,999.0,999.0
9185-6104,0.16983178396534238,2.7576166992187503e-14,4.0568769710860016e-14,3.994727121841937e+40,5.876856080456908e+40
9185-9101,0.6300134547541394,1.0222416015625001e-13,4.2805821262400845e-13,8.054725541526518e+41,3.3728733141095756e+42
9185-9102,999.0,0.0,999.0,999.0,999.0
9186-12701,0.25051688977279535,1.5990437316894533e-15,2.825989961819659e-15,8.172334644054645e+39,1.4442966887671513e+40
9186-12702,0.25816978952865166,2.487958984375e-15,4.474128288824665e-15,1.225749358846409e+40,2.2042806637349326e+40
9186-12703,0.5288026934846085,3.1433996582031254e-15,1.0457638393323851e-14,6.616233107448881e+39,2.201125561080873e+40
9186-12704,999.0,0.0,999.0,999.0,999.0
9186-12705,0.3005549051452515,4.8345751953125006e-14,9.57339816314015e-14,9.212245830507542e+40,1.824203652839777e+41
9186-1901,0.5399968298030511,9.149351806640626e-15,3.122304087392457e-14,3.0849805028444134e+40,1.0527791954142627e+41
